epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50845,6.22099,38.249,4.16984,0,0,0,0,1.22971,20.2555,0.71257,0,0,0
2,12.6806,6.68131,103.872,4.64354,0,0,0,0,1.22869,20.2625,0.71205,1.9604e-05,1.9604e-05,1.9604e-05
3,19.6755,6.66899,86.5086,5.58716,0,0,0,0,1.22744,20.2652,0.71142,3.8416e-05,3.8416e-05,3.8416e-05
4,26.489,6.14489,35.8356,4.22249,0,0,0,0,1.22622,20.272,0.71081,5.6436e-05,5.6436e-05,5.6436e-05
5,32.5835,5.89779,24.9122,4.34765,0,0,0,0,1.225,20.2718,0.71019,7.3664e-05,7.3664e-05,7.3664e-05
6,38.632,6.52565,42.0276,4.43752,0,0,0,0,1.22365,20.2744,0.7095,9.01e-05,9.01e-05,9.01e-05
7,44.5461,6.55059,61.859,4.36736,0,0,0,0,1.22216,20.2756,0.70874,0.000105744,0.000105744,0.000105744
8,50.0029,6.61849,40.9374,4.24386,0,0,0,0,1.2204,20.275,0.70784,0.000120596,0.000120596,0.000120596
9,55.9402,5.95073,20.4922,4.51694,0,0,0,0,1.2185,20.2728,0.70688,0.000134656,0.000134656,0.000134656
10,62.2906,6.80423,30.3052,4.18335,0,0,0,0,1.21617,20.27,0.70568,0.000147924,0.000147924,0.000147924
11,68.7198,5.29033,20.3487,4.13317,0,0,0,0,1.21394,20.2656,0.70454,0.0001604,0.0001604,0.0001604
12,74.7138,5.28156,15.7314,4.54941,0,0,0,0,1.21105,20.2579,0.70306,0.000172084,0.000172084,0.000172084
13,80.9208,6.86582,42.1583,4.10916,0,0,0,0,1.20784,20.2485,0.70142,0.000182976,0.000182976,0.000182976
14,86.8917,6.6102,34.7863,4.24127,0,0,0,0,1.20447,20.2362,0.6997,0.000193076,0.000193076,0.000193076
15,93.6396,6.6896,35.8117,4.14052,0,0,0,0,1.20047,20.22,0.69765,0.000202384,0.000202384,0.000202384
16,99.5576,4.34798,23.8325,4.44086,0,0,0,0,1.19611,20.1963,0.69539,0.0002109,0.0002109,0.0002109
17,105.349,5.93097,19.8402,4.10554,0,0,0,0,1.19112,20.1668,0.69279,0.000218624,0.000218624,0.000218624
18,111.666,4.63467,25.1391,4.13122,0,0,0,0,1.19112,20.1668,0.69279,0.000225556,0.000225556,0.000225556
19,118.578,5.02313,14.1144,4.21739,0,0,0,0,1.18013,20.1257,0.68707,0.000231696,0.000231696,0.000231696
20,124.715,6.12936,19.343,3.88461,0,0,0,0,1.18013,20.1257,0.68707,0.000237044,0.000237044,0.000237044
21,130.678,6.77248,40.2065,4.0004,0,0,0,0,1.16823,20.0812,0.68087,0.0002416,0.0002416,0.0002416
22,136.432,5.07564,14.8444,3.96749,0,0,0,0,1.16823,20.0812,0.68087,0.000245364,0.000245364,0.000245364
23,142.161,5.78104,46.9535,3.83845,0,0,0,0,1.15461,20.0379,0.67377,0.000248336,0.000248336,0.000248336
24,148.032,5.7424,12.9541,4.06098,0,0,0,0,1.15461,20.0379,0.67377,0.000250516,0.000250516,0.000250516
25,153.78,5.54835,29.5343,3.88364,0,0,0,0,1.14014,19.9914,0.66622,0.000251904,0.000251904,0.000251904
26,159.452,6.80087,58.2712,3.99084,0,0,0,0,1.14014,19.9914,0.66622,0.0002525,0.0002525,0.0002525
27,165.563,5.59223,26.5929,3.84957,0,0,0,0,1.12558,19.9447,0.65863,0.000252304,0.000252304,0.000252304
28,171.83,5.08552,27.3474,4.12314,0,0,0,0,1.12558,19.9447,0.65863,0.000251316,0.000251316,0.000251316
29,177.633,4.78773,15.6738,3.5718,0,0,0,0,1.10955,19.8898,0.65024,0.000249536,0.000249536,0.000249536
30,183.401,4.9165,15.0052,3.6879,0,0,0,0,1.10955,19.8898,0.65024,0.000246964,0.000246964,0.000246964
31,189.202,5.91294,18.1378,3.6798,0,0,0,0,1.09167,19.8192,0.64085,0.0002436,0.0002436,0.0002436
32,194.895,4.07531,11.8696,3.48701,0,0,0,0,1.09167,19.8192,0.64085,0.000239444,0.000239444,0.000239444
33,200.552,4.76191,13.9073,3.72042,0,0,0,0,1.07227,19.73,0.63063,0.000234496,0.000234496,0.000234496
34,206.24,5.40311,18.4309,3.68371,0,0,0,0,1.07227,19.73,0.63063,0.000228756,0.000228756,0.000228756
35,212.029,4.61115,16.9851,3.90544,0,0,0,0,1.0526,19.6245,0.62021,0.000222224,0.000222224,0.000222224
36,217.771,4.25711,13.8383,3.64293,0,0,0,0,1.0526,19.6245,0.62021,0.0002149,0.0002149,0.0002149
37,223.656,5.28371,16.4897,4.1717,0,0,0,0,1.03288,19.4954,0.60972,0.000206784,0.000206784,0.000206784
38,229.824,5.87866,21.6946,3.78376,0,0,0,0,1.03288,19.4954,0.60972,0.000197876,0.000197876,0.000197876
39,236.8,4.80021,12.3943,3.77132,0,0,0,0,1.01226,19.339,0.59873,0.000188176,0.000188176,0.000188176
40,244.681,5.33716,14.2963,3.92797,0,0,0,0,1.01226,19.339,0.59873,0.000177684,0.000177684,0.000177684
41,251.057,3.74457,21.3597,3.6626,0,0,0,0,0.99359,19.1619,0.58872,0.0001664,0.0001664,0.0001664
42,257.23,4.97089,37.7035,3.72031,0,0,0,0,0.99359,19.1619,0.58872,0.000154324,0.000154324,0.000154324
43,262.866,3.83028,19.6521,3.27323,0,0,0,0,0.97506,18.9894,0.57879,0.000141456,0.000141456,0.000141456
44,269.279,5.67439,32.9794,3.31745,0,0,0,0,0.97506,18.9894,0.57879,0.000127796,0.000127796,0.000127796
45,275.491,5.15345,33.3081,3.16594,0,0,0,0,0.95866,18.8215,0.57,0.000113344,0.000113344,0.000113344
46,281.706,6.30097,52.0763,3.46989,0,0,0,0,0.95866,18.8215,0.57,9.81e-05,9.81e-05,9.81e-05
47,287.801,3.71049,40.7749,3.03782,0,0,0,0,0.94228,18.6751,0.56124,8.2064e-05,8.2064e-05,8.2064e-05
48,293.465,3.50987,32.8633,3.25771,0,0,0,0,0.94228,18.6751,0.56124,6.5236e-05,6.5236e-05,6.5236e-05
49,300.387,3.53909,61.6342,2.80666,0,0,0,0,0.92707,18.5312,0.55284,4.7616e-05,4.7616e-05,4.7616e-05
50,307.2,6.48242,61.4126,3.61283,0,0,0,0,0.92707,18.5312,0.55284,2.9204e-05,2.9204e-05,2.9204e-05
